time,setpoint,temperature,control
0,50,25,100
0.1,50,34.95,0
0.2,50,34.8005,34.6565
0.3,50,38.1181,0
0.4,50,37.937,29.8976
0.5,50,40.7474,0
0.6,50,40.5399,25.8903
0.7,50,42.9235,0
0.8,50,42.6943,22.5183
0.9,50,44.7192,0
1,50,44.472,19.6829
1.1,50,46.1955,0
1.2,50,45.9336,17.3008
1.3,50,47.4043,0
1.4,50,47.1303,15.3016
1.5,50,48.3891,0
1.6,50,48.1053,13.6254
1.7,50,49.1867,0
1.8,50,48.8949,12.2218
1.9,50,49.8281,0
2,50,49.5298,11.0482
2.1,50,50.3393,0
2.2,50,50.036,10.0683
2.3,50,50.7424,0
2.4,50,50.435,9.25163
2.5,50,51.0558,0
2.6,50,50.7453,8.57241
2.7,50,51.295,0
2.8,50,50.9821,8.0088
2.9,50,51.4732,0
3,50,51.1584,7.54238
3.1,50,51.6011,0
3.2,50,51.2851,7.15758
3.3,50,51.688,0
3.4,50,51.3711,6.84126
3.5,50,51.7415,0
3.6,50,51.4241,6.58233
3.7,50,51.7681,0
3.8,50,51.4504,6.37144
3.9,50,51.773,0
4,50,51.4553,6.2007
4.1,50,51.7608,0
4.2,50,51.4432,6.06346
4.3,50,51.7351,0
4.4,50,51.4178,5.95412
4.5,50,51.699,0
4.6,50,51.382,5.86797
4.7,50,51.655,0
4.8,50,51.3385,5.80104
4.9,50,51.6052,0
5,50,51.2891,5.75001
5.1,50,51.5512,0
5.2,50,51.2357,5.71207
5.3,50,51.4946,0
5.4,50,51.1796,5.68489
5.5,50,51.4363,0
5.6,50,51.122,5.66649
5.7,50,51.3774,0
5.8,50,51.0636,5.65524
5.9,50,51.3185,0
6,50,51.0053,5.64975
6.1,50,51.2602,0
6.2,50,50.9476,5.64889
6.3,50,51.203,0
6.4,50,50.891,5.65171
6.5,50,51.1473,0
6.6,50,50.8358,5.6574
6.7,50,51.0932,0
6.8,50,50.7823,5.66532
6.9,50,51.041,0
7,50,50.7305,5.67492
7.1,50,50.9907,0
7.2,50,50.6808,5.68576
7.3,50,50.9426,0
7.4,50,50.6332,5.69748
7.5,50,50.8966,0
7.6,50,50.5876,5.70976
7.7,50,50.8527,0
7.8,50,50.5442,5.72239
7.9,50,50.811,0
8,50,50.5029,5.73515
8.1,50,50.7714,0
8.2,50,50.4637,5.74789
8.3,50,50.7338,0
8.4,50,50.4265,5.76049
8.5,50,50.6983,0
8.6,50,50.3913,5.77286
8.7,50,50.6646,0
8.8,50,50.358,5.78491
8.9,50,50.6329,0
9,50,50.3266,5.7966
9.1,50,50.603,0
9.2,50,50.2969,5.80788
9.3,50,50.5748,0
9.4,50,50.269,5.81873
9.5,50,50.5482,0
9.6,50,50.2427,5.82912
9.7,50,50.5232,0
9.8,50,50.218,5.83906
9.9,50,50.4997,0
10,50,50.1947,5.84853
10.1,50,50.4776,0
10.2,50,50.1728,5.85754
10.3,50,50.4569,0
10.4,50,50.1523,5.86609
10.5,50,50.4374,0
10.6,50,50.133,5.8742
10.7,50,50.4191,0
10.8,50,50.1149,5.88188
10.9,50,50.4019,0
11,50,50.0979,5.88913
11.1,50,50.3858,0
11.2,50,50.082,5.89598
11.3,50,50.3708,0
11.4,50,50.0671,5.90244
11.5,50,50.3566,0
11.6,50,50.0531,5.90853
11.7,50,50.3434,0
11.8,50,50.04,5.91426
11.9,50,50.331,0
12,50,50.0277,5.91965
12.1,50,50.3194,0
12.2,50,50.0162,5.92472
12.3,50,50.3085,0
12.4,50,50.0054,5.92949
12.5,50,50.2983,0
12.6,50,49.9953,5.93397
12.7,50,50.2887,0
12.8,50,49.9859,5.93817
12.9,50,50.2798,0
13,50,49.977,5.94211
13.1,50,50.2715,0
13.2,50,49.9687,5.94582
13.3,50,50.2636,0
13.4,50,49.961,5.94929
13.5,50,50.2563,0
13.6,50,49.9538,5.95254
13.7,50,50.2495,0
13.8,50,49.947,5.95559
13.9,50,50.2431,0
14,50,49.9406,5.95845
14.1,50,50.2371,0
14.2,50,49.9347,5.96112
14.3,50,50.2315,0
14.4,50,49.9292,5.96363
14.5,50,50.2262,0
14.6,50,49.924,5.96598
14.7,50,50.2213,0
14.8,50,49.9191,5.96818
14.9,50,50.2167,0
15,50,49.9146,5.97023
15.1,50,50.2124,0
15.2,50,49.9103,5.97216
15.3,50,50.2084,0
15.4,50,49.9064,5.97396
15.5,50,50.2047,0
15.6,50,49.9026,5.97565
15.7,50,50.2012,0
15.8,50,49.8992,5.97723
15.9,50,50.1979,0
16,50,49.8959,5.9787
16.1,50,50.1948,0
16.2,50,49.8929,5.98009
16.3,50,50.192,0
16.4,50,49.89,5.98138
16.5,50,50.1893,0
16.6,50,49.8874,5.98259
16.7,50,50.1868,0
16.8,50,49.8849,5.98372
16.9,50,50.1844,0
17,50,49.8826,5.98478
17.1,50,50.1822,0
17.2,50,49.8804,5.98577
17.3,50,50.1802,0
17.4,50,49.8784,5.98669
17.5,50,50.1783,0
17.6,50,49.8765,5.98756
17.7,50,50.1765,0
17.8,50,49.8747,5.98837
17.9,50,50.1748,0
18,50,49.8731,5.98912
18.1,50,50.1732,0
18.2,50,49.8715,5.98983
18.3,50,50.1718,0
18.4,50,49.8701,5.99049
18.5,50,50.1704,0
18.6,50,49.8687,5.99111
18.7,50,50.1691,0
18.8,50,49.8674,5.99169
18.9,50,50.1679,0
19,50,49.8662,5.99223
19.1,50,50.1668,0
19.2,50,49.8651,5.99274
19.3,50,50.1658,0
19.4,50,49.8641,5.99321
19.5,50,50.1648,0
19.6,50,49.8631,5.99365
19.7,50,50.1639,0
19.8,50,49.8622,5.99407
19.9,50,50.163,0
20,50,49.8614,5.99445
20.1,50,50.1622,0
20.2,50,49.8606,5.99481
20.3,50,50.1615,0
20.4,50,49.8599,5.99515
20.5,50,50.1608,0
20.6,50,49.8592,5.99547
20.7,50,50.1601,0
20.8,50,49.8585,5.99576
20.9,50,50.1595,0
21,50,49.8579,5.99604
21.1,50,50.1589,0
21.2,50,49.8573,5.9963
21.3,50,50.1584,0
21.4,50,49.8568,5.99654
21.5,50,50.1579,0
21.6,50,49.8563,5.99676
21.7,50,50.1574,0
21.8,50,49.8559,5.99697
21.9,50,50.157,0
22,50,49.8554,5.99717
22.1,50,50.1566,0
22.2,50,49.855,5.99736
22.3,50,50.1562,0
22.4,50,49.8547,5.99753
22.5,50,50.1559,0
22.6,50,49.8543,5.99769
22.7,50,50.1555,0
